0.60012,0.75781,0.40069
1,0,0.54992
0.82161,0.63831,0.48115
0.87475,0.53434,0.4699
0.42853,0.61071,0.50954
0.44073,0.75175,0.60192
0.86243,0.55654,0.46913
0.59314,0.75826,0.52732
0.79459,0.55804,0.45933
0.31828,0.35022,0.56053
0.50063,0.54439,0.50691
0.841,0.53518,0.45953
0.58994,0.76298,0.55373
0.90458,0.57291,0.2376
0.42871,0.63756,0.51798
0.78342,0.61365,0.3308
0.66266,0.51935,0.23948
0.80005,0.64981,0.44005
0.31579,0.7352,0.11901
0.4195,0.20263,0.44423
0.34411,0.3552,0.52891
0.66485,0.78445,0.5932
0,0.40491,0.19045
0.61541,0.70433,0.63286
0.65508,0.75628,0.52475
0.27818,0.56692,0.56315
0.64299,0.75705,0.52397
0.25215,0.5706,0.86535
0.32822,0.45761,0.53319
0.26225,0.4563,0.56741
0.70118,0.70023,0.51463
0.75045,0.41255,0.24817
0.7537,0.57905,0.80377
0.64093,0.42853,0
0.028841,0.7798,0.17618
0.36335,0.59207,0.21401
0.65697,0.75138,0.52288
0.57207,0.12598,0.88378
0.65892,0.75779,0.52317
0.10656,0.4402,0.52777
0.83726,0.59841,0.47291
0.32971,0.69922,0.4148
0.46609,0.69713,0.58921
0.6582,0.75419,0.52316
0.41647,0.61907,0.51786
0.47118,0.67225,0.51565
0.080313,0.75295,0.25865
0.80137,0.8296,0.51623
0.65877,0.75589,0.52312
0.59203,0.55541,0.48555
0.40512,0.28472,0.29821
0.31018,0.3445,0.64091
0.8683,0.5288,0.46284
0.54745,0.68806,1
0.4444,0.6661,0.52023
0.34051,0.67219,0.40513
0.76799,0.4715,0.44971
0.36161,0.62233,0.53856
0.18712,0.5285,0.73866
0.41222,0.49867,0.38269
0.82692,0.47432,0.68542
0.31136,0.54305,0.31226
0.27636,0.62877,0.42797
0.29296,1,0.52946
0.44255,0.1088,0.52591
0.79323,0.57749,0.41053
0.42211,0.65045,0.52184
0.55281,0.64575,0.49196
0.52489,0.29251,0.21559
0.60969,0.46246,0.31228
0.36215,0.58414,0.5273
0.33703,0.27343,0.58015
0.49653,0.76748,0.63916
0.65854,0.41928,0.10868
0.65408,0.64711,0.47945
0.87632,0.44917,0.46306
0.65834,0.72266,0.4655
0.38574,0.55045,0.74429
0.55822,0.8312,0.42875
0.65758,0.75533,0.52328
0.3311,0.28363,0.56968
0.42073,0.61725,0.51464
0.76221,0.64088,0.47454
0.37933,0.39118,0.6008
0.67572,0.55791,0.5423
0.41206,0.48599,0.49271
0.52819,0.60458,0.54368
0.33384,0.53575,0.45494
0.87308,0.49558,0.46365
0.76542,0.69391,0.50555
0.7345,0.69013,0.51561
0.70988,0.60192,0.36551
0.48981,0.78658,0.50864
0.50993,0.74714,0.28374
0.60797,0.73398,0.5115
0.75544,0.49769,0.34765
0.48057,0.23661,0.52848
0.52146,0.7446,0.53638
0.97585,0.27419,0.56471
0.46906,0.58283,0.71302
