0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,1,0,0,0,0,4,0,0,416,0,0,0,0,4,0,2,170,0,0,2,0,1,0
4,1,4,0,0,0,1,2,43,6,50,2,0,1,190,13,2,4,115,151,2,4,1,1,3
581,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,1,0,3,0,0,1,40,49,94,1,0,0,4,24,0,107,160,24,0,27,0,5,0
18,2,3,0,1,0,0,6,289,1,13,0,1,0,5,23,0,0,204,24,0,3,0,6,1
2,0,0,2,0,88,2,0,92,9,292,4,7,0,1,2,0,4,91,1,0,1,0,1,1
1,1,0,4,108,3,2,2,1,1,249,1,3,0,2,1,3,121,1,95,0,0,0,0,1
5,0,0,0,212,0,0,0,293,0,0,0,0,0,1,1,0,0,85,0,0,0,1,2,0
5,0,0,0,0,0,0,3,232,0,5,0,0,1,1,5,1,1,261,0,0,0,0,84,1
4,0,1,1,1,4,1,52,1,103,98,4,4,3,66,1,4,10,82,3,0,1,4,150,2
2,0,0,0,187,0,0,0,2,2,2,141,3,1,119,0,2,2,0,136,0,0,0,0,1
0,173,1,2,0,0,1,1,1,6,1,35,2,0,0,4,0,5,363,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
15,0,0,0,0,1,0,0,2,19,1,0,1,1,0,0,0,6,441,113,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0
1,3,50,0,0,0,0,2,0,0,0,1,2,0,0,273,4,0,0,260,2,0,0,0,2
4,17,229,5,40,5,6,100,117,3,2,7,6,1,0,0,0,10,25,19,0,2,0,1,1
12,0,6,0,18,2,1,5,12,4,186,2,0,5,7,53,6,4,120,129,1,7,0,8,12
1,0,1,0,0,0,0,11,7,0,31,0,4,0,1,99,0,2,257,179,0,2,0,1,4
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,450,0,0,0,144,1,1,0,0,0
