ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
-11.421988,-2.159420,-2.781613,-11.421988,-2.159420,-2.781613,3.496133,-8.717887,2.819023,-1.625456,0.581941,-1.284823,2014,10,8,14,36,33,0,2014-10-08 14:36:33:5
19.430294,-19.525164,2.843414,-11.421988,-2.159420,-2.781613,3.496133,-8.717887,2.819023,-1.625456,0.581941,-1.284823,2014,10,8,14,36,33,0,2014-10-08 14:36:33:7
19.430294,-19.525164,2.843414,10.995670,-17.589451,-1.769614,3.496133,-8.717887,2.819023,-1.625456,0.581941,-1.284823,2014,10,8,14,36,33,0,2014-10-08 14:36:33:9
10.995670,-17.589451,-1.769614,10.995670,-17.589451,-1.769614,8.434623,-1.935712,4.613028,-1.625456,0.581941,-1.284823,2014,10,8,14,36,33,0,2014-10-08 14:36:33:12
10.995670,-17.589451,-1.769614,10.995670,-17.589451,-1.769614,8.434623,-1.935712,4.613028,-0.670979,-0.567479,7.974455,2014,10,8,14,36,33,0,2014-10-08 14:36:33:231
9.853487,-4.606893,3.882497,10.995670,-17.589451,-1.769614,8.434623,-1.935712,4.613028,-0.670979,-0.567479,7.974455,2014,10,8,14,36,33,0,2014-10-08 14:36:33:233
9.853487,-4.606893,3.882497,4.956596,3.033603,0.165798,8.434623,-1.935712,4.613028,-0.670979,-0.567479,7.974455,2014,10,8,14,36,33,0,2014-10-08 14:36:33:235
4.956596,3.033603,0.165798,4.956596,3.033603,0.165798,4.896891,-7.640496,3.716699,-0.670979,-0.567479,7.974455,2014,10,8,14,36,33,0,2014-10-08 14:36:33:258
4.956596,3.033603,0.165798,4.956596,3.033603,0.165798,4.896891,-7.640496,3.716699,-0.081947,-2.473219,6.686557,2014,10,8,14,36,33,0,2014-10-08 14:36:33:400
7.945308,2.324321,2.733280,4.956596,3.033603,0.165798,4.896891,-7.640496,3.716699,-0.081947,-2.473219,6.686557,2014,10,8,14,36,33,0,2014-10-08 14:36:33:403
7.945308,2.324321,2.733280,15.358654,7.762152,-0.679205,4.896891,-7.640496,3.716699,-0.081947,-2.473219,6.686557,2014,10,8,14,36,33,0,2014-10-08 14:36:33:410
15.358654,7.762152,-0.679205,15.358654,7.762152,-0.679205,-7.413346,-5.437830,3.412486,-0.081947,-2.473219,6.686557,2014,10,8,14,36,33,0,2014-10-08 14:36:33:412
15.358654,7.762152,-0.679205,15.358654,7.762152,-0.679205,-7.413346,-5.437830,3.412486,1.751373,2.005152,-4.459304,2014,10,8,14,36,33,0,2014-10-08 14:36:33:600
11.424083,-19.525164,-7.480384,15.358654,7.762152,-0.679205,-7.413346,-5.437830,3.412486,1.751373,2.005152,-4.459304,2014,10,8,14,36,33,0,2014-10-08 14:36:33:608
11.424083,-19.525164,-7.480384,19.909733,-16.226553,-11.125257,-7.413346,-5.437830,3.412486,1.751373,2.005152,-4.459304,2014,10,8,14,36,33,0,2014-10-08 14:36:33:610
19.909733,-16.226553,-11.125257,19.909733,-16.226553,-11.125257,-8.485649,-3.298611,3.644873,1.751373,2.005152,-4.459304,2014,10,8,14,36,33,0,2014-10-08 14:36:33:613
19.909733,-16.226553,-11.125257,19.909733,-16.226553,-11.125257,-8.485649,-3.298611,3.644873,0.346289,1.004869,-8.265494,2014,10,8,14,36,33,0,2014-10-08 14:36:33:801
-6.453421,-8.583662,3.726874,19.909733,-16.226553,-11.125257,-8.485649,-3.298611,3.644873,0.346289,1.004869,-8.265494,2014,10,8,14,36,33,0,2014-10-08 14:36:33:803
-6.453421,-8.583662,3.726874,-11.039814,-0.163853,1.666963,-8.485649,-3.298611,3.644873,0.346289,1.004869,-8.265494,2014,10,8,14,36,33,0,2014-10-08 14:36:33:805
-11.039814,-0.163853,1.666963,-11.039814,-0.163853,1.666963,4.586392,-8.419808,2.059911,0.346289,1.004869,-8.265494,2014,10,8,14,36,33,0,2014-10-08 14:36:33:807
-11.039814,-0.163853,1.666963,-11.039814,-0.163853,1.666963,4.586392,-8.419808,2.059911,-1.897136,1.861335,0.635853,2014,10,8,14,36,34,0,2014-10-08 14:36:34:8
19.587713,-19.525164,-2.687192,-11.039814,-0.163853,1.666963,4.586392,-8.419808,2.059911,-1.897136,1.861335,0.635853,2014,10,8,14,36,34,0,2014-10-08 14:36:34:10
19.587713,-19.525164,-2.687192,11.211148,-15.565753,-5.900660,4.586392,-8.419808,2.059911,-1.897136,1.861335,0.635853,2014,10,8,14,36,34,0,2014-10-08 14:36:34:13
11.211148,-15.565753,-5.900660,11.211148,-15.565753,-5.900660,8.376564,-3.959411,3.213468,-1.897136,1.861335,0.635853,2014,10,8,14,36,34,0,2014-10-08 14:36:34:17
11.211148,-15.565753,-5.900660,11.211148,-15.565753,-5.900660,8.376564,-3.959411,3.213468,-0.521880,-4.478053,9.149446,2014,10,8,14,36,34,0,2014-10-08 14:36:34:202
8.507945,4.771195,4.682161,11.211148,-15.565753,-5.900660,8.376564,-3.959411,3.213468,-0.521880,-4.478053,9.149446,2014,10,8,14,36,34,0,2014-10-08 14:36:34:205
8.507945,4.771195,4.682161,8.042722,14.467413,3.289633,8.376564,-3.959411,3.213468,-0.521880,-4.478053,9.149446,2014,10,8,14,36,34,0,2014-10-08 14:36:34:207
8.042722,14.467413,3.289633,8.042722,14.467413,3.289633,0.465223,-9.696218,1.392528,-0.521880,-4.478053,9.149446,2014,10,8,14,36,34,0,2014-10-08 14:36:34:209
