ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
0.106692,0.131681,9.987712,0.049680,-0.031274,0.182708,0.057012,0.162955,9.805004,-0.000266,-0.000399,0.000067,2014,10,13,16,27,36,22,2014-10-13 16:27:36:22,
0.116268,0.169988,9.820118,0.050129,0.010624,0.015113,0.066140,0.159364,9.805004,-0.000266,0.000666,-0.000999,2014,10,13,16,27,36,539,2014-10-13 16:27:36:539,
0.073173,0.169988,9.868002,-0.001047,0.004190,0.063147,0.074220,0.165798,9.804854,0.006125,-0.002530,0.001132,2014,10,13,16,27,37,59,2014-10-13 16:27:37:59,
0.123451,0.131681,9.997289,0.052822,-0.042048,0.192434,0.070629,0.173729,9.804854,-0.001332,-0.002530,0.016046,2014,10,13,16,27,37,577,2014-10-13 16:27:37:577,
0.087538,0.193930,9.829695,0.010624,0.016610,0.024989,0.076914,0.177321,9.804705,0.002929,0.002796,-0.002064,2014,10,13,16,27,38,94,2014-10-13 16:27:38:94,
0.054019,0.181959,9.860819,-0.026486,-0.000299,0.056264,0.080505,0.182259,9.804555,0.001864,-0.000399,0.000067,2014,10,13,16,27,38,638,2014-10-13 16:27:38:638,
0.092326,0.126893,9.844060,0.014814,-0.059556,0.039504,0.077512,0.186448,9.804555,0.015713,-0.005726,0.000067,2014,10,13,16,27,39,161,2014-10-13 16:27:39:161,
0.092326,0.160412,9.805753,0.010924,-0.023343,0.001197,0.081403,0.183755,9.804555,-0.020673,-0.001332,-0.000300,2014,10,13,16,27,39,835,2014-10-13 16:27:39:835,
0.111480,0.196325,9.870396,0.026037,0.011223,0.065990,0.085443,0.185102,9.804405,-0.001498,0.000799,0.000766,2014,10,13,16,27,40,357,2014-10-13 16:27:40:357,
0.073173,0.153229,9.875184,0.102951,-0.072724,0.071227,-0.029778,0.225953,9.803957,-0.000433,-0.000266,-0.000300,2014,10,13,16,27,40,879,2014-10-13 16:27:40:879,
0.054019,0.119710,9.896732,0.058658,-0.112228,0.092925,-0.004639,0.231938,9.803807,0.001698,0.002929,-0.000300,2014,10,13,16,27,41,401,2014-10-13 16:27:41:401,
0.065990,0.169988,9.870396,0.063297,-0.044143,0.066140,0.002693,0.214131,9.804255,-0.001498,0.000799,-0.001365,2014,10,13,16,27,41,925,2014-10-13 16:27:41:925,
0.056413,0.150835,9.815330,0.046687,-0.055516,0.010924,0.009726,0.206350,9.804405,-0.001498,0.000799,-0.003495,2014,10,13,16,27,42,448,2014-10-13 16:27:42:448,
-0.051326,0.146046,9.800964,-0.067187,-0.050877,-0.003591,0.015862,0.196923,9.804555,0.003828,0.001864,-0.000300,2014,10,13,16,27,42,970,2014-10-13 16:27:42:970,
0.073173,0.169988,9.769839,0.067337,-0.017208,-0.035015,0.005836,0.187197,9.804854,0.004894,-0.004527,-0.002430,2014,10,13,16,27,43,492,2014-10-13 16:27:43:492,
0.054019,0.162806,9.829695,0.039205,-0.021548,0.024840,0.014814,0.184354,9.804854,-0.004694,-0.002397,-0.000300,2014,10,13,16,27,44,14,2014-10-13 16:27:44:14,
0.010924,0.146046,9.686042,-0.010325,-0.032621,-0.118812,0.021249,0.178667,9.804854,0.002763,-0.001332,-0.015213,2014,10,13,16,27,44,536,2014-10-13 16:27:44:536,
0.073173,0.169988,9.863214,0.053720,-0.005686,0.058209,0.019453,0.175675,9.805004,0.000633,-0.001332,-0.000300,2014,10,13,16,27,45,59,2014-10-13 16:27:45:59,
0.082750,0.153229,9.829695,0.055067,-0.017957,0.024690,0.027683,0.171185,9.805004,0.001698,-0.001332,-0.000300,2014,10,13,16,27,45,581,2014-10-13 16:27:45:581,
0.065990,0.155623,9.834483,0.029329,-0.010325,0.029329,0.036661,0.165948,9.805154,-0.001498,-0.000266,0.003961,2014,10,13,16,27,46,104,2014-10-13 16:27:46:104,
0.061202,0.167594,9.698013,0.018555,0.005686,-0.107141,0.042647,0.161908,9.805154,0.001698,0.001864,-0.009887,2014,10,13,16,27,46,627,2014-10-13 16:27:46:627,
0.034866,0.155623,9.853637,-0.012420,-0.007931,0.048483,0.047285,0.163554,9.805154,0.000633,0.000799,0.000766,2014,10,13,16,27,47,150,2014-10-13 16:27:47:150,
0.065990,0.167594,9.808146,0.020650,0.006883,0.002993,0.045340,0.160711,9.805154,0.001698,-0.000266,-0.002430,2014,10,13,16,27,47,676,2014-10-13 16:27:47:676,
0.037260,0.167594,9.805753,-0.010774,0.006734,0.000599,0.048034,0.160860,9.805154,-0.000433,-0.002397,-0.000300,2014,10,13,16,27,48,198,2014-10-13 16:27:48:198,
0.056413,0.153229,9.836877,0.008230,-0.007482,0.031723,0.048183,0.160711,9.805154,0.001698,-0.001332,-0.000300,2014,10,13,16,27,48,720,2014-10-13 16:27:48:720,
0.077961,0.158017,9.812935,0.025738,0.001197,0.007781,0.052224,0.156820,9.805154,0.000633,0.001864,-0.000300,2014,10,13,16,27,49,243,2014-10-13 16:27:49:243,
0.032471,0.160412,9.868002,-0.024989,0.004190,0.062848,0.057461,0.156222,9.805154,-0.000433,0.000799,-0.002430,2014,10,13,16,27,49,767,2014-10-13 16:27:49:767,
0.070779,0.155623,9.829695,0.016610,0.001347,0.024541,0.054169,0.154276,9.805154,-0.002563,-0.003462,-0.002430,2014,10,13,16,27,50,289,2014-10-13 16:27:50:289,
0.044442,0.148441,9.839272,-0.013018,-0.003292,0.033968,0.057461,0.151733,9.805304,-0.000433,-0.001332,-0.000300,2014,10,13,16,27,50,812,2014-10-13 16:27:50:812,
0.046837,0.165200,9.781811,-0.011372,0.016759,-0.023493,0.058209,0.148441,9.805304,-0.000433,-0.000266,-0.001365,2014,10,13,16,27,51,335,2014-10-13 16:27:51:335,
0.044442,0.177171,9.891944,-0.013767,0.028581,0.086640,0.058209,0.148590,9.805304,-0.000433,-0.000266,-0.001365,2014,10,13,16,27,51,858,2014-10-13 16:27:51:858,
0.006135,0.146046,9.858425,-0.047734,-0.001646,0.053121,0.053870,0.147692,9.805304,-0.001498,0.000799,-0.001365,2014,10,13,16,27,52,381,2014-10-13 16:27:52:381,
0.015712,0.153229,9.781811,-0.031873,0.008230,-0.023643,0.047585,0.144999,9.805453,0.000633,-0.000266,-0.001365,2014,10,13,16,27,52,904,2014-10-13 16:27:52:904,
0.018106,0.155623,9.788993,-0.026635,0.010624,-0.016460,0.044742,0.144999,9.805453,0.000633,-0.000266,0.000766,2014,10,13,16,27,53,427,2014-10-13 16:27:53:427,
0.042048,0.146046,9.911098,0.000150,0.000000,0.105644,0.041899,0.146046,9.805453,0.000633,0.002929,-0.001365,2014,10,13,16,27,53,951,2014-10-13 16:27:53:951,
0.032471,0.150835,9.767446,-0.010774,0.006584,-0.038008,0.043245,0.144251,9.805453,-0.002563,-0.003462,0.000766,2014,10,13,16,27,54,473,2014-10-13 16:27:54:473,
0.008529,0.155623,9.793781,-0.035314,0.016759,-0.011672,0.043844,0.138864,9.805453,-0.001498,-0.000266,-0.037584,2014,10,13,16,27,55,12,2014-10-13 16:27:55:12,
-0.020201,0.150835,9.829695,-0.059705,0.010924,0.024241,0.039504,0.139911,9.805453,-0.001498,0.000799,-0.001365,2014,10,13,16,27,55,530,2014-10-13 16:27:55:530,
0.020500,0.112527,9.875184,-0.011522,-0.027833,0.069731,0.032022,0.140360,9.805453,-0.002563,0.002929,-0.000300,2014,10,13,16,27,56,48,2014-10-13 16:27:56:48,
0.015712,0.129287,9.853637,-0.014664,-0.003142,0.048034,0.030376,0.132429,9.805603,-0.000320,-0.002427,0.000757,2014,10,13,16,27,56,567,2014-10-13 16:27:56:567,
