ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
0.389806,3.381211,9.254936,0.353893,3.241151,-0.550517,0.035913,0.140061,9.805453,0.315152,0.160855,0.421279,2014,10,7,14,7,5,0,2014-10-07 14:07:05:891
13.833248,-19.521723,-0.333842,0.353893,3.241151,-0.550517,0.035913,0.140061,9.805453,0.315152,0.160855,0.421279,2014,10,7,14,7,5,0,2014-10-07 14:07:05:895
13.833248,-19.521723,-0.333842,13.797336,-19.661783,-10.139295,0.035913,0.140061,9.805453,0.315152,0.160855,0.421279,2014,10,7,14,7,5,0,2014-10-07 14:07:05:897
13.797336,-19.661783,-10.139295,13.797336,-19.661783,-10.139295,0.035913,0.140061,9.805453,0.315152,0.160855,0.421279,2014,10,7,14,7,5,0,2014-10-07 14:07:05:900
13.797336,-19.661783,-10.139295,13.797336,-19.661783,-10.139295,0.035913,0.140061,9.805453,0.424874,-2.848517,7.430719,2014,10,7,14,7,6,0,2014-10-07 14:07:06:391
3.787178,-19.521723,5.766584,13.797336,-19.661783,-10.139295,0.035913,0.140061,9.805453,0.424874,-2.848517,7.430719,2014,10,7,14,7,6,0,2014-10-07 14:07:06:393
3.787178,-19.521723,5.766584,3.659388,-10.749966,1.383549,0.035913,0.140061,9.805453,0.424874,-2.848517,7.430719,2014,10,7,14,7,6,0,2014-10-07 14:07:06:396
3.659388,-10.749966,1.383549,3.659388,-10.749966,1.383549,0.127791,-8.771756,4.383035,0.424874,-2.848517,7.430719,2014,10,7,14,7,6,0,2014-10-07 14:07:06:398
3.659388,-10.749966,1.383549,3.659388,-10.749966,1.383549,0.127791,-8.771756,4.383035,-0.446512,0.532632,-7.291235,2014,10,7,14,7,6,0,2014-10-07 14:07:06:891
9.928306,-9.336788,2.259079,3.659388,-10.749966,1.383549,0.127791,-8.771756,4.383035,-0.446512,0.532632,-7.291235,2014,10,7,14,7,6,0,2014-10-07 14:07:06:893
9.928306,-9.336788,2.259079,2.930503,-4.111443,-2.201468,0.127791,-8.771756,4.383035,-0.446512,0.532632,-7.291235,2014,10,7,14,7,6,0,2014-10-07 14:07:06:895
2.930503,-4.111443,-2.201468,2.930503,-4.111443,-2.201468,6.997803,-5.225345,4.460547,-0.446512,0.532632,-7.291235,2014,10,7,14,7,6,0,2014-10-07 14:07:06:897
2.930503,-4.111443,-2.201468,2.930503,-4.111443,-2.201468,6.997803,-5.225345,4.460547,3.410810,-0.656203,6.418718,2014,10,7,14,7,7,0,2014-10-07 14:07:07:386
-3.479224,-19.069218,-4.557213,2.930503,-4.111443,-2.201468,6.997803,-5.225345,4.460547,3.410810,-0.656203,6.418718,2014,10,7,14,7,7,0,2014-10-07 14:07:07:388
-3.479224,-19.069218,-4.557213,2.946364,-14.950294,-10.714951,6.997803,-5.225345,4.460547,3.410810,-0.656203,6.418718,2014,10,7,14,7,7,0,2014-10-07 14:07:07:390
2.946364,-14.950294,-10.714951,2.946364,-14.950294,-10.714951,-6.425589,-4.118925,6.157737,3.410810,-0.656203,6.418718,2014,10,7,14,7,7,0,2014-10-07 14:07:07:394
2.946364,-14.950294,-10.714951,2.946364,-14.950294,-10.714951,-6.425589,-4.118925,6.157737,-0.332529,4.137487,-4.728209,2014,10,7,14,7,7,0,2014-10-07 14:07:07:890
10.000132,-9.631275,-3.008165,2.946364,-14.950294,-10.714951,-6.425589,-4.118925,6.157737,-0.332529,4.137487,-4.728209,2014,10,7,14,7,7,0,2014-10-07 14:07:07:892
10.000132,-9.631275,-3.008165,2.519149,-5.151275,-7.495347,-6.425589,-4.118925,6.157737,-0.332529,4.137487,-4.728209,2014,10,7,14,7,7,0,2014-10-07 14:07:07:894
2.519149,-5.151275,-7.495347,2.519149,-5.151275,-7.495347,7.480982,-4.480000,4.487183,-0.332529,4.137487,-4.728209,2014,10,7,14,7,7,0,2014-10-07 14:07:07:897
2.519149,-5.151275,-7.495347,2.519149,-5.151275,-7.495347,7.480982,-4.480000,4.487183,4.777545,-0.925715,6.146010,2014,10,7,14,7,8,0,2014-10-07 14:07:08:389
1.251719,-14.979921,3.738696,2.519149,-5.151275,-7.495347,7.480982,-4.480000,4.487183,4.777545,-0.925715,6.146010,2014,10,7,14,7,8,0,2014-10-07 14:07:08:391
1.251719,-14.979921,3.738696,6.179135,-10.224737,-3.281104,7.480982,-4.480000,4.487183,4.777545,-0.925715,6.146010,2014,10,7,14,7,8,0,2014-10-07 14:07:08:393
6.179135,-10.224737,-3.281104,6.179135,-10.224737,-3.281104,-4.927417,-4.755184,7.019799,4.777545,-0.925715,6.146010,2014,10,7,14,7,8,0,2014-10-07 14:07:08:395
6.179135,-10.224737,-3.281104,6.179135,-10.224737,-3.281104,-4.927417,-4.755184,7.019799,-1.117629,1.128115,-6.762864,2014,10,7,14,7,8,0,2014-10-07 14:07:08:888
17.637634,-18.501793,-7.281815,6.179135,-10.224737,-3.281104,-4.927417,-4.755184,7.019799,-1.117629,1.128115,-6.762864,2014,10,7,14,7,8,0,2014-10-07 14:07:08:890
17.637634,-18.501793,-7.281815,10.998065,-18.366669,-14.497490,-4.927417,-4.755184,7.019799,-1.117629,1.128115,-6.762864,2014,10,7,14,7,8,0,2014-10-07 14:07:08:894
10.998065,-18.366669,-14.497490,10.998065,-18.366669,-14.497490,6.639570,-0.135123,7.215675,-1.117629,1.128115,-6.762864,2014,10,7,14,7,8,0,2014-10-07 14:07:08:896
10.998065,-18.366669,-14.497490,10.998065,-18.366669,-14.497490,6.639570,-0.135123,7.215675,3.393870,-1.769248,9.764450,2014,10,7,14,7,9,0,2014-10-07 14:07:09:390
10.244340,-19.521723,4.825663,10.998065,-18.366669,-14.497490,6.639570,-0.135123,7.215675,3.393870,-1.769248,9.764450,2014,10,7,14,7,9,0,2014-10-07 14:07:09:392
10.244340,-19.521723,4.825663,13.017125,-12.736854,-1.689558,6.639570,-0.135123,7.215675,3.393870,-1.769248,9.764450,2014,10,7,14,7,9,0,2014-10-07 14:07:09:394
13.017125,-12.736854,-1.689558,13.017125,-12.736854,-1.689558,-2.772785,-6.784868,6.515222,3.393870,-1.769248,9.764450,2014,10,7,14,7,9,0,2014-10-07 14:07:09:396
13.017125,-12.736854,-1.689558,13.017125,-12.736854,-1.689558,-2.772785,-6.784868,6.515222,-1.980348,1.601237,-8.277936,2014,10,7,14,7,9,0,2014-10-07 14:07:09:889
19.588310,-19.521723,-6.575525,13.017125,-12.736854,-1.689558,-2.772785,-6.784868,6.515222,-1.980348,1.601237,-8.277936,2014,10,7,14,7,9,0,2014-10-07 14:07:09:891
19.588310,-19.521723,-6.575525,11.955895,-16.170288,-11.741015,-2.772785,-6.784868,6.515222,-1.980348,1.601237,-8.277936,2014,10,7,14,7,9,0,2014-10-07 14:07:09:893
11.955895,-16.170288,-11.741015,11.955895,-16.170288,-11.741015,7.632416,-3.351434,5.165490,-1.980348,1.601237,-8.277936,2014,10,7,14,7,9,0,2014-10-07 14:07:09:923
11.955895,-16.170288,-11.741015,11.955895,-16.170288,-11.741015,7.632416,-3.351434,5.165490,3.940368,-2.183641,9.031548,2014,10,7,14,7,10,0,2014-10-07 14:07:10:390
11.451017,-19.521723,0.188094,11.955895,-16.170288,-11.741015,7.632416,-3.351434,5.165490,3.940368,-2.183641,9.031548,2014,10,7,14,7,10,0,2014-10-07 14:07:10:392
11.451017,-19.521723,0.188094,11.076026,-11.509826,-5.454441,7.632416,-3.351434,5.165490,3.940368,-2.183641,9.031548,2014,10,7,14,7,10,0,2014-10-07 14:07:10:395
11.076026,-11.509826,-5.454441,11.076026,-11.509826,-5.454441,0.374992,-8.011897,5.642535,3.940368,-2.183641,9.031548,2014,10,7,14,7,10,0,2014-10-07 14:07:10:397
11.076026,-11.509826,-5.454441,11.076026,-11.509826,-5.454441,0.374992,-8.011897,5.642535,3.009356,4.070518,-8.427073,2014,10,7,14,7,10,0,2014-10-07 14:07:10:888
19.588310,-19.521723,-6.762273,11.076026,-11.509826,-5.454441,0.374992,-8.011897,5.642535,3.009356,4.070518,-8.427073,2014,10,7,14,7,10,0,2014-10-07 14:07:10:892
19.588310,-19.521723,-6.762273,15.922788,-12.258014,-12.237064,0.374992,-8.011897,5.642535,3.009356,4.070518,-8.427073,2014,10,7,14,7,10,0,2014-10-07 14:07:10:894
15.922788,-12.258014,-12.237064,15.922788,-12.258014,-12.237064,3.665523,-7.263709,5.474791,3.009356,4.070518,-8.427073,2014,10,7,14,7,10,0,2014-10-07 14:07:10:896
15.922788,-12.258014,-12.237064,15.922788,-12.258014,-12.237064,3.665523,-7.263709,5.474791,4.219526,-5.800230,8.782271,2014,10,7,14,7,11,0,2014-10-07 14:07:11:388
12.585870,-19.521723,-2.213290,15.922788,-12.258014,-12.237064,3.665523,-7.263709,5.474791,4.219526,-5.800230,8.782271,2014,10,7,14,7,11,0,2014-10-07 14:07:11:390
12.585870,-19.521723,-2.213290,13.284678,-10.106823,-4.866963,3.665523,-7.263709,5.474791,4.219526,-5.800230,8.782271,2014,10,7,14,7,11,0,2014-10-07 14:07:11:392
13.284678,-10.106823,-4.866963,13.284678,-10.106823,-4.866963,-0.698808,-9.414899,2.653673,4.219526,-5.800230,8.782271,2014,10,7,14,7,11,0,2014-10-07 14:07:11:401
13.284678,-10.106823,-4.866963,13.284678,-10.106823,-4.866963,-0.698808,-9.414899,2.653673,-0.345126,3.218297,-8.818028,2014,10,7,14,7,11,0,2014-10-07 14:07:11:889
19.588310,-19.521723,-1.267580,13.284678,-10.106823,-4.866963,-0.698808,-9.414899,2.653673,-0.345126,3.218297,-8.818028,2014,10,7,14,7,11,0,2014-10-07 14:07:11:893
19.588310,-19.521723,-1.267580,15.363592,-11.796980,-5.586122,-0.698808,-9.414899,2.653673,-0.345126,3.218297,-8.818028,2014,10,7,14,7,11,0,2014-10-07 14:07:11:895
15.363592,-11.796980,-5.586122,15.363592,-11.796980,-5.586122,4.224719,-7.724742,4.318542,-0.345126,3.218297,-8.818028,2014,10,7,14,7,11,0,2014-10-07 14:07:11:897
15.363592,-11.796980,-5.586122,15.363592,-11.796980,-5.586122,4.224719,-7.724742,4.318542,3.825325,-3.843324,8.536200,2014,10,7,14,7,12,0,2014-10-07 14:07:12:388
1.886182,-19.521723,0.626233,15.363592,-11.796980,-5.586122,4.224719,-7.724742,4.318542,3.825325,-3.843324,8.536200,2014,10,7,14,7,12,0,2014-10-07 14:07:12:391
1.886182,-19.521723,0.626233,1.750760,-10.000431,-1.718738,4.224719,-7.724742,4.318542,3.825325,-3.843324,8.536200,2014,10,7,14,7,12,0,2014-10-07 14:07:12:393
1.750760,-10.000431,-1.718738,1.750760,-10.000431,-1.718738,0.135422,-9.521291,2.344971,3.825325,-3.843324,8.536200,2014,10,7,14,7,12,0,2014-10-07 14:07:12:395
1.750760,-10.000431,-1.718738,1.750760,-10.000431,-1.718738,0.135422,-9.521291,2.344971,-1.329472,1.096302,-6.749281,2014,10,7,14,7,12,0,2014-10-07 14:07:12:889
13.601011,-19.521723,0.283863,1.750760,-10.000431,-1.718738,0.135422,-9.521291,2.344971,-1.329472,1.096302,-6.749281,2014,10,7,14,7,12,0,2014-10-07 14:07:12:892
13.601011,-19.521723,0.283863,8.886678,-11.172692,-1.775301,0.135422,-9.521291,2.344971,-1.329472,1.096302,-6.749281,2014,10,7,14,7,12,0,2014-10-07 14:07:12:894
