sep=;
ACCELERATION X;ACCELERATION Y;ACCELERATION Z;LINEAR_ACCELERATION X;LINEAR_ACCELERATION Y;LINEAR_ACCELERATION Z;GRAVITY X;GRAVITY Y;GRAVITY Z;GYROSCOPE X;GYROSCOPE Y;GYROSCOPE Z;Data
-0.024241;0.205452;9.84825;-0.009278;-0.027533;0.044442;-0.014964;0.232986;9.80381;-0.000466;0.001798;-0.001465;2014-09-09 18:27:47:100
-0.000299;0.253336;9.85304;0.017059;0.020201;0.049231;-0.017358;0.233135;9.80381;-0.000466;0.000732;-0.000399;2014-09-09 18:27:47:700
0.006883;0.231789;9.93444;0.026336;-0.00419;0.130783;-0.019453;0.235978;9.80366;-0.002597;-0.000333;-0.000399;2014-09-09 18:27:48:100
-0.021847;0.236577;9.84825;-0.005537;0.000299;0.044592;-0.01631;0.236278;9.80366;0.001664;0.001798;0.000666;2014-09-09 18:27:48:700
0.042796;0.255731;10.0326;0.060304;0.022296;0.228796;-0.017508;0.233435;9.80381;0.000599;-0.003529;0.000666;2014-09-09 18:27:49:100
0.006883;0.231789;9.88895;0.024092;-0.002843;0.085144;-0.017208;0.234632;9.80381;0.000133;0.000766;-0.000366;2014-09-09 18:27:49:700
0.011672;0.186299;9.79318;0.030227;-0.042796;-0.010624;-0.018555;0.229095;9.80381;0.000133;-0.0003;0.000699;2014-09-09 18:27:50:100
-0.007482;0.234183;9.77403;0.008978;0.00808;-0.029928;-0.01646;0.226102;9.80396;0.001198;0.000766;0.001764;2014-09-09 18:27:50:700
0.014066;0.217423;9.85783;0.030227;-0.00808;0.05387;-0.016161;0.225504;9.80396;0.002264;-0.001365;0.000699;2014-09-09 18:27:51:100
0.006883;0.212635;9.9105;0.022146;-0.010175;0.106392;-0.015263;0.22281;9.80411;0.001198;-0.001365;0.000699;2014-09-09 18:27:51:700
-0.005088;0.229394;9.89853;0.011971;0.008829;0.094421;-0.017059;0.220566;9.80411;0.000133;-0.001365;0.001764;2014-09-09 18:27:52:100
-0.017059;0.195876;9.83628;0.003142;-0.023643;0.032172;-0.020201;0.219518;9.80411;0.000133;0.001831;-0.000366;2014-09-09 18:27:52:700
0.004489;0.215029;9.80276;0.02484;-0.003891;-0.001347;-0.020351;0.21892;9.80411;-0.000932;0.000766;0.001764;2014-09-09 18:27:53:100
-0.024241;0.241365;9.86261;-0.004639;0.025289;0.058508;-0.019603;0.216077;9.80411;0.001198;0.000766;0.000699;2014-09-09 18:27:53:700
-0.007482;0.205452;9.87938;0.013168;-0.009876;0.075118;-0.02065;0.215329;9.80425;0.002264;-0.0003;-0.000366;2014-09-09 18:27:54:100
0.002095;0.210241;9.83388;0.021099;-0.005986;0.029778;-0.019004;0.216226;9.80411;-0.001997;0.000766;0.000699;2014-09-09 18:27:54:700
-0.005088;0.219818;9.84825;0.011821;0.003741;0.043993;-0.016909;0.216077;9.80425;0.001198;-0.001365;0.001764;2014-09-09 18:27:55:100
-0.000299;0.207847;9.88895;0.014216;-0.008829;0.084845;-0.014515;0.216675;9.80411;0.000133;0.000766;0.000699;2014-09-09 18:27:55:700
-0.005088;0.248548;9.91289;0.009726;0.030825;0.108787;-0.014814;0.217723;9.80411;0.000932;-0.000266;0.000399;2014-09-09 18:27:56:100
-0.017059;0.227;9.83628;0.001646;0.011672;0.032022;-0.018705;0.215329;9.80425;0.001997;0.000799;0.000399;2014-09-09 18:27:56:700
0.009278;0.219818;9.8698;0.026935;0.004788;0.065541;-0.017657;0.215029;9.80425;-0.001198;0.001864;-0.000666;2014-09-09 18:27:57:100
0.018854;0.222212;9.93684;0.035763;0.005986;0.132729;-0.016909;0.216226;9.80411;0.000932;0.000799;-0.000666;2014-09-09 18:27:57:700
0.011672;0.248548;9.85543;0.027533;0.031723;0.051326;-0.015862;0.216825;9.80411;-0.001198;0.000799;0.000399;2014-09-09 18:27:58:100
-0.033818;0.231789;9.92965;-0.019453;0.016759;0.125396;-0.014365;0.215029;9.80425;0.000932;0.000799;0.000399;2014-09-09 18:27:58:700
-0.02903;0.253336;9.9105;-0.013467;0.035314;0.106392;-0.015562;0.218022;9.80411;-0.002264;0.000799;-0.000666;2014-09-09 18:27:59:100
-0.033818;0.253336;9.86261;-0.016011;0.034716;0.058508;-0.017807;0.218621;9.80411;-0.001198;0.000799;0.001465;2014-09-09 18:27:59:700
-0.031424;0.227;9.82191;-0.009876;0.007931;0.017807;-0.021548;0.219069;9.80411;-0.000133;0.001864;-0.001731;2014-09-09 18:28:00:100
-0.052972;0.236577;9.90332;-0.031723;0.019603;0.09921;-0.021249;0.216975;9.80411;0.003063;-0.007723;-0.000666;2014-09-09 18:28:00:700
-0.026635;0.24376;9.97275;-0.005387;0.030676;0.168492;-0.021249;0.213084;9.80425;0.000932;-0.004527;0.000399;2014-09-09 18:28:01:100
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:01:700
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:02:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:02:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:03:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:03:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:04:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:04:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:05:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:05:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:06:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:06:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:07:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:07:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:08:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:08:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:09:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:09:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:10:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:10:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:11:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:11:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:12:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:12:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:13:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:13:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:14:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:14:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:15:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:15:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:16:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:16:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:17:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:17:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:18:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:18:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:19:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:19:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:20:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:20:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:21:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:21:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:22:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:22:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:23:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:23:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:24:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:24:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:25:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:25:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:26:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:26:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:27:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:27:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:28:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:28:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:29:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:29:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:30:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:30:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:31:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:31:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:32:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:32:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:33:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:33:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:34:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:34:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:35:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:35:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:36:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:36:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:37:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:37:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:38:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:38:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:39:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:39:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:40:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:40:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:41:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:41:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:42:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:42:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:43:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:43:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:44:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:44:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:45:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:45:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:46:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:46:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:47:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:47:500
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:48:300
-0.017059;0.246154;9.81952;0.003292;0.030825;0.015263;-0.020351;0.215329;9.80425;-0.001198;-0.001332;-0.000666;2014-09-09 18:28:48:500
