ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
-1.627459,7.934534,6.434716,-1.657685,7.802105,-3.370886,0.030227,0.132429,9.805603,-0.633514,0.225094,0.978291,2014,10,13,15,31,21,407,2014-10-13 15:31:21:407,
-0.329801,6.399851,7.437887,0.856975,-0.745046,0.826449,-1.186776,7.144897,6.611438,0.935499,-0.164760,-0.161534,2014,10,13,15,31,21,921,2014-10-13 15:31:21:921,
0.702100,6.294506,7.617452,0.465523,0.489614,-0.282815,0.236577,5.804892,7.900267,0.208982,-0.064623,0.143132,2014,10,13,15,31,22,427,2014-10-13 15:31:22:427,
1.111508,6.821230,6.896797,0.657358,0.747739,-0.789189,0.454150,6.073491,7.685986,0.319725,0.370017,0.158049,2014,10,13,15,31,22,932,2014-10-13 15:31:22:932,
-0.547674,10.151565,2.965518,-0.828244,2.891747,-3.621080,0.280571,7.259818,6.586598,-1.949314,-0.019863,0.317840,2014,10,13,15,31,23,435,2014-10-13 15:31:23:435,
6.608595,2.796577,-3.077447,7.038504,-6.382343,-6.502502,-0.429909,9.178921,3.425055,-6.389311,-6.629836,3.118419,2014,10,13,15,31,23,938,2014-10-13 15:31:23:938,
7.513604,11.595268,1.852214,2.877382,2.986318,1.103278,4.636222,8.608951,0.748936,3.048874,-0.941308,-4.481174,2014,10,13,15,31,24,445,2014-10-13 15:31:24:445,
-3.643376,18.337341,19.693806,-5.190928,9.102007,22.606201,1.547552,9.235333,-2.912397,-1.988768,4.740813,-1.316273,2014,10,13,15,31,25,16,2014-10-13 15:31:25:16,
-1.206079,7.920169,19.693806,2.025944,-0.745644,16.433800,-3.232023,8.665813,3.260005,-2.144354,1.420400,-0.496016,2014,10,13,15,31,25,519,2014-10-13 15:31:25:519,
-1.440711,3.052757,11.163264,-0.659303,-3.138050,3.598036,-0.781408,6.190807,7.565228,1.038579,-1.221435,0.205998,2014,10,13,15,31,26,22,2014-10-13 15:31:26:22,
3.132214,8.504354,4.842572,4.671536,5.557840,-4.383335,-1.539322,2.946514,9.225906,5.791853,-3.016423,-1.576193,2014,10,13,15,31,26,525,2014-10-13 15:31:26:525,
3.903147,17.511341,15.805622,1.787720,8.825477,11.774684,2.115427,8.685864,4.030938,0.005260,-0.766564,0.797221,2014,10,13,15,31,27,29,2014-10-13 15:31:27:29,
-10.897807,-8.755446,-17.562366,-11.694927,-18.426825,-18.975395,0.797120,9.671378,1.413028,-3.179746,1.964738,-1.543173,2014,10,13,15,31,27,690,2014-10-13 15:31:27:690,
-3.736750,5.078251,8.759486,-1.548001,-2.310554,14.824597,-2.188749,7.388806,-6.065112,9.692935,-0.123187,0.599071,2014,10,13,15,31,28,309,2014-10-13 15:31:28:309,
-13.847464,18.880825,19.693806,-10.085724,10.796653,15.611691,-3.761740,8.084171,4.082114,-9.078025,3.843841,-2.385803,2014,10,13,15,31,28,881,2014-10-13 15:31:28:881,
-6.657676,5.063886,6.875249,-0.518794,-10.914417,-18.302774,-4.702362,6.602610,5.519234,8.194211,1.719693,3.981279,2014,10,13,15,31,29,421,2014-10-13 15:31:29:421,
-19.605518,-1.663821,8.263886,-12.742690,-8.369531,6.237644,-6.862830,6.705710,2.026243,-11.343843,7.362409,-6.790672,2014,10,13,15,31,30,4,2014-10-13 15:31:30:04,
-2.058415,-2.030133,-2.979285,6.329820,-6.755839,-4.843770,-8.388235,4.725705,1.864485,-10.415997,-1.587943,-9.154493,2014,10,13,15,31,30,630,2014-10-13 15:31:30:630,
-1.907580,-0.265607,-17.016489,5.435885,-6.487988,-15.138537,-7.343465,6.222381,-1.877952,4.538107,-4.222321,2.198034,2014,10,13,15,31,31,230,2014-10-13 15:31:31:230,
-2.565986,-0.042946,-0.149338,1.755100,-8.353519,2.754828,-4.321085,8.310574,-2.904167,12.657553,-0.293626,4.714189,2014,10,13,15,31,31,736,2014-10-13 15:31:31:736,
-12.937668,-1.498621,18.748096,-6.438008,-8.838794,18.532019,-6.499659,7.340174,0.216077,2.812309,3.636153,3.241998,2014,10,13,15,31,32,239,2014-10-13 15:31:32:239,
-5.326500,-8.939799,2.122759,2.688838,-13.181577,-1.609801,-8.015338,4.241777,3.732560,-11.212963,-3.136798,-10.295382,2014,10,13,15,31,32,742,2014-10-13 15:31:32:742,
0.271143,-6.430676,-15.532084,8.877101,-10.470742,-13.126510,-8.605958,4.040066,-2.405574,11.561192,-1.420621,7.580829,2014,10,13,15,31,33,246,2014-10-13 15:31:33:246,
-19.605518,-4.551228,19.693806,-15.060427,-10.013898,26.451889,-4.545093,5.462670,-6.758083,-8.932366,5.649539,-2.486985,2014,10,13,15,31,33,749,2014-10-13 15:31:33:749,
-7.172430,-9.856779,-16.056414,2.132785,-11.731738,-18.519897,-9.305215,1.874959,2.463484,3.228705,-3.194289,5.958430,2014,10,13,15,31,34,293,2014-10-13 15:31:34:293,
-5.889138,6.517167,9.121011,-0.093524,1.100136,14.886249,-5.795614,5.417031,-5.765238,8.334517,1.319236,4.460668,2014,10,13,15,31,34,796,2014-10-13 15:31:34:796,
-2.903568,-1.517774,-9.264064,5.186290,-6.468834,-11.756129,-5.795614,5.417031,-5.765238,-8.760717,-1.488835,-0.098672,2014,10,13,15,31,35,299,2014-10-13 15:31:35:299,
-1.488595,0.124648,-1.063923,3.335871,-5.257517,5.563975,-4.824466,5.382165,-6.627899,12.728862,-0.366047,2.692321,2014,10,13,15,31,35,804,2014-10-13 15:31:35:804,
-6.899491,0.218022,11.108198,0.270246,-6.413767,11.994053,-7.169736,6.631789,-0.885855,-10.957306,-2.344239,-1.667805,2014,10,13,15,31,36,348,2014-10-13 15:31:36:348,
-1.218050,1.053598,-2.526781,5.121048,-5.022287,-6.893655,-6.339098,6.075885,4.366874,9.024924,1.330923,-1.842509,2014,10,13,15,31,36,880,2014-10-13 15:31:36:880,
-5.898715,-6.028450,-14.356531,3.072958,-8.055142,-17.758543,-8.971672,2.026692,3.402011,-4.324912,0.146334,-1.907494,2014,10,13,15,31,37,407,2014-10-13 15:31:37:407,
-10.272921,4.726304,12.420220,-2.836979,-0.843806,15.558869,-7.435942,5.570110,-3.138649,7.327984,0.098405,4.095273,2014,10,13,15,31,37,910,2014-10-13 15:31:37:910,
-1.687314,-0.095618,9.762657,6.888418,-3.231424,6.185570,-8.575731,3.135806,3.577087,-8.787336,-6.311291,-1.063802,2014,10,13,15,31,38,469,2014-10-13 15:31:38:469,
2.868852,-4.548833,-15.156195,10.222942,-10.191368,-18.357542,-7.354090,5.642535,3.201347,9.243355,2.138380,-0.175373,2014,10,13,15,31,39,52,2014-10-13 15:31:39:52,
-6.925827,3.105429,19.693806,1.268029,-2.151639,20.875195,-8.193856,5.257068,-1.181389,-10.563107,-4.078503,-1.937321,2014,10,13,15,31,39,782,2014-10-13 15:31:39:782,
-3.878008,-5.156961,-14.768333,4.207211,-9.518000,-18.200571,-8.085219,4.361038,3.432238,-4.245029,-2.444386,-0.260594,2014,10,13,15,31,40,285,2014-10-13 15:31:40:285,
-9.233837,4.798130,3.604770,4.207211,-9.518000,-18.200571,-8.085219,4.361038,3.432238,7.978879,-0.356468,2.717885,2014,10,13,15,31,40,862,2014-10-13 15:31:40:862,
-1.548450,6.035932,-0.417489,5.263204,1.001375,-5.359570,-6.811654,5.034557,4.942081,6.149686,3.006608,1.277656,2014,10,13,15,31,41,411,2014-10-13 15:31:41:411,
-2.391209,-4.374057,-6.544251,6.013636,-9.150639,-8.191162,-8.404845,4.776582,1.646912,-2.875273,-4.209483,-3.073946,2014,10,13,15,31,41,913,2014-10-13 15:31:41:913,
-3.174113,-8.211962,2.477101,6.013636,-9.150639,-8.191162,-8.404845,4.776582,1.646912,-6.930735,-8.643113,3.114175,2014,10,13,15,31,42,416,2014-10-13 15:31:42:416,
-3.406350,-4.074781,10.313323,5.556044,-1.520917,7.259818,-8.962395,-2.553865,3.053505,0.218140,0.415926,-0.182811,2014,10,13,15,31,42,919,2014-10-13 15:31:42:919,
-8.735844,10.379014,12.585421,-4.086154,12.476634,4.209904,-4.649689,-2.097620,8.375516,1.821375,6.094848,-6.725666,2014,10,13,15,31,43,422,2014-10-13 15:31:43:422,
-3.442264,5.887492,-13.839384,1.091157,5.662586,-22.532282,-4.533421,0.224905,8.692898,-5.080447,-12.236230,-8.589881,2014,10,13,15,31,43,925,2014-10-13 15:31:43:925,
-19.605518,16.072426,-13.678972,-15.579220,23.005436,-19.326445,-4.026299,-6.933010,5.647473,3.943459,7.205898,-3.276345,2014,10,13,15,31,44,428,2014-10-13 15:31:44:428,
-19.605518,19.689466,-1.212364,-13.292608,18.691233,-8.650101,-6.312912,0.998232,7.437737,24.204943,-0.559921,10.072474,2014,10,13,15,31,44,931,2014-10-13 15:31:44:931,
-15.939997,19.689466,19.693806,-10.329634,15.487043,12.835614,-5.610363,4.202423,6.858191,11.126761,-4.927525,4.956004,2014,10,13,15,31,45,435,2014-10-13 15:31:45:435,
-8.664018,1.913117,-13.760375,-4.107253,-3.131765,-20.828209,-4.556765,5.044882,7.067833,19.314480,7.120591,-1.563420,2014,10,13,15,31,45,938,2014-10-13 15:31:45:938,
-8.664018,1.913117,-13.760375,-4.107253,-3.131765,-20.828209,-4.556765,5.044882,7.067833,19.314480,7.120591,-1.563420,2014,10,13,15,32,1,103,2014-10-13 15:32:01:103,
-19.605518,-11.144859,-11.337442,-11.080365,-6.305878,-11.617564,-8.525154,-4.838981,0.280122,-11.011414,2.828480,0.504772,2014,10,13,15,33,34,287,2014-10-13 15:33:34:287,
-0.559645,-0.617554,2.343026,8.108113,-0.048782,6.894852,-8.667758,-0.568773,-4.551826,-13.508554,3.077795,3.216945,2014,10,13,15,33,34,823,2014-10-13 15:33:34:823,
1.990180,5.978471,6.657377,8.472780,12.794913,3.885340,-6.482600,-6.816442,2.772037,5.221894,-0.106255,-0.883251,2014,10,13,15,33,35,327,2014-10-13 15:33:35:327,
-6.803723,19.689466,19.693806,-1.323694,23.655611,12.593801,-5.480029,-3.966145,7.100005,22.862545,0.216555,0.463251,2014,10,13,15,33,35,835,2014-10-13 15:33:35:835,
0.072425,-8.750658,7.004536,6.310368,-8.569147,-0.560243,-6.237943,-0.181510,7.564780,-6.075530,1.050702,-0.021434,2014,10,13,15,33,36,338,2014-10-13 15:33:36:338,
2.090737,15.042919,-0.752677,7.534403,22.819885,-3.213767,-5.443666,-7.776966,2.461090,15.390485,0.258179,-3.738133,2014,10,13,15,33,36,847,2014-10-13 15:33:36:847,
3.132214,19.689466,10.559926,7.259220,21.298967,1.810765,-4.127005,-1.609502,8.749161,28.662428,-0.720749,0.282187,2014,10,13,15,33,37,351,2014-10-13 15:33:37:351,
1.003769,-0.892888,9.178472,6.234202,-3.725677,1.381903,-5.230433,2.832789,7.796568,-1.576264,0.271038,-0.405968,2014,10,13,15,33,37,859,2014-10-13 15:33:37:859,
-0.526126,-3.730017,8.800188,3.959710,0.703596,1.290774,-4.485836,-4.433613,7.509414,-1.044717,0.136820,-0.598779,2014,10,13,15,33,38,363,2014-10-13 15:33:38:363,
-6.205172,-3.016545,3.951929,-1.220295,2.906860,-2.067693,-4.984878,-5.923405,6.019622,-7.102946,1.385328,2.846290,2014,10,13,15,33,38,865,2014-10-13 15:33:38:865,
-1.749563,0.720804,10.143334,5.281459,5.261258,5.032462,-7.031022,-4.540454,5.110872,0.908863,-0.079398,0.354640,2014,10,13,15,33,39,424,2014-10-13 15:33:39:424,
5.263054,19.689466,-17.296612,11.497854,22.270714,-24.412477,-6.234800,-2.581249,7.115867,23.646811,-1.789115,-8.103552,2014,10,13,15,33,39,927,2014-10-13 15:33:39:927,
0.759560,6.818836,-4.102165,5.084686,4.361936,-12.553548,-4.325125,2.456900,8.451383,19.904467,-4.394732,-6.838013,2014,10,13,15,33,40,431,2014-10-13 15:33:40:431,
-0.528520,-15.131206,-4.736629,3.850325,-13.067104,-13.265224,-4.378845,-2.064101,8.528595,11.670940,-2.935295,-6.211631,2014,10,13,15,33,40,934,2014-10-13 15:33:40:934,
-7.287352,-6.722769,-7.422923,-0.192883,-0.781108,-10.669311,-7.094469,-5.941660,3.246388,-15.819365,3.257112,9.748165,2014,10,13,15,33,41,437,2014-10-13 15:33:41:437,
-1.993771,-9.543139,5.208885,5.297620,-3.196110,3.558233,-7.291392,-6.347029,1.650652,2.218669,0.063473,-0.339882,2014,10,13,15,33,41,941,2014-10-13 15:33:41:941,
1.827374,4.513220,6.714838,7.569568,12.143092,4.482095,-5.742194,-7.629872,2.232743,-9.491866,0.192392,-0.321768,2014,10,13,15,33,42,444,2014-10-13 15:33:42:444,
0.062848,4.733486,6.561609,3.790321,4.510077,-2.506280,-3.727473,0.223409,9.067889,-1.771831,-0.099508,-0.116176,2014,10,13,15,33,42,948,2014-10-13 15:33:42:948,
-10.548254,-17.987488,-6.467637,-7.990050,-21.774218,-15.144373,-2.558204,3.786729,8.676737,5.017125,-3.006621,-5.367931,2014,10,13,15,33,43,453,2014-10-13 15:33:43:453,
-14.072519,-19.536537,-17.732355,-6.299145,-14.021194,-20.040815,-7.773375,-5.515343,2.308459,-4.453075,-1.381027,-4.860866,2014,10,13,15,33,43,956,2014-10-13 15:33:43:956,
1.441908,-3.212869,3.336619,9.839720,1.516876,5.147384,-8.397812,-4.729745,-1.810765,-12.813251,2.469898,2.249774,2014,10,13,15,34,1,145,2014-10-13 15:34:01:145,
5.157709,15.205725,-17.842489,6.279542,24.483255,-14.869040,-1.121833,-9.277532,-2.973449,-25.284754,-3.173540,0.906299,2014,10,13,15,34,19,111,2014-10-13 15:34:19:111,
5.272631,7.335984,-17.768269,1.471237,2.236334,-10.304195,3.801394,5.099649,-7.464074,16.930487,2.471329,-8.174007,2014,10,13,15,34,19,663,2014-10-13 15:34:19:663,
8.480861,9.533861,-15.386038,1.000926,11.318738,-9.300426,7.479935,-1.784877,-6.085612,11.003157,6.358532,-1.015418,2014,10,13,15,34,20,166,2014-10-13 15:34:20:166,
12.811972,-7.132177,-9.556157,5.900361,-7.931840,-2.645294,6.911612,0.799663,-6.910863,11.945743,-1.618122,-1.254026,2014,10,13,15,34,20,676,2014-10-13 15:34:20:676,
-1.007360,-17.865383,-16.657358,-9.018659,-19.252375,-11.174189,6.911612,0.799663,-6.910863,4.783886,-9.860050,-6.652781,2014,10,13,15,34,21,178,2014-10-13 15:34:21:178,
19.620483,-2.662203,-3.520374,10.699837,-2.128595,0.517746,8.920646,-0.533608,-4.038120,-9.811488,-4.977893,-0.466778,2014,10,13,15,34,21,687,2014-10-13 15:34:21:687,
5.174469,9.545832,-8.701427,-0.512958,5.662586,-1.719785,5.687426,3.883245,-6.981642,-5.987253,-5.818370,-1.623651,2014,10,13,15,34,22,190,2014-10-13 15:34:22:190,
4.705205,16.589573,-7.458836,-4.822072,15.777939,-5.281609,9.527277,0.811634,-2.177227,-5.863862,-0.636876,-0.619095,2014,10,13,15,34,22,695,2014-10-13 15:34:22:695,
8.313267,-2.863316,-5.141249,-1.277905,-4.875343,-4.781371,9.591172,2.012027,-0.359878,11.707616,-0.963897,-4.272948,2014,10,13,15,34,23,198,2014-10-13 15:34:23:198,
16.094423,-6.744317,-3.927389,7.435642,-5.457134,0.492906,8.658780,-1.287183,-4.420295,-7.526850,0.623361,9.766175,2014,10,13,15,34,23,701,2014-10-13 15:34:23:701,
4.281431,8.863484,-8.095694,-3.452589,4.434361,-4.004452,7.734020,4.429123,-4.091242,-4.500562,-4.437676,1.031015,2014,10,13,15,34,24,203,2014-10-13 15:34:24:203,
-0.760758,15.998205,-9.407717,-10.195259,13.908965,-7.736414,9.434502,2.089240,-1.671302,0.452873,2.924379,-1.350914,2014,10,13,15,34,24,709,2014-10-13 15:34:24:709,
10.075399,0.617854,-7.109282,-10.195259,13.908965,-7.736414,9.434502,2.089240,-1.671302,10.446067,0.190924,-2.194600,2014,10,13,15,34,25,211,2014-10-13 15:34:25:211,
12.177508,3.454983,0.463577,2.958186,3.023577,3.778499,9.219322,0.431405,-3.314922,2.468270,1.380833,-1.691793,2014,10,13,15,34,25,714,2014-10-13 15:34:25:714,
19.252375,0.663343,-8.746917,10.124929,-0.704793,-5.432294,9.127445,1.368137,-3.314623,-15.796754,-3.630171,2.168725,2014,10,13,15,34,26,217,2014-10-13 15:34:26:217,
9.524733,-8.686014,-10.154707,0.390405,-8.220791,-6.616825,9.134329,-0.465223,-3.537882,13.279510,-2.751294,-8.489237,2014,10,13,15,34,26,720,2014-10-13 15:34:26:720,
6.402694,1.237952,-4.190751,-1.442656,5.815217,-0.493654,9.134329,-0.465223,-3.537882,11.781748,-2.994174,-7.070305,2014,10,13,15,34,27,223,2014-10-13 15:34:27:223,
8.631696,11.889755,-4.051887,-0.036811,15.858294,-1.754202,8.668507,-3.968539,-2.297685,-8.168608,-1.537935,1.824658,2014,10,13,15,34,27,735,2014-10-13 15:34:27:735,
-0.545279,16.936733,-6.812402,-10.229377,16.444574,-5.347300,9.684097,0.492158,-1.465102,4.405774,-2.783229,-0.766065,2014,10,13,15,34,28,238,2014-10-13 15:34:28:238,
0.012570,12.258462,-10.264840,-9.510966,9.945813,-9.915137,9.523536,2.312649,-0.349703,-6.924469,-0.434297,2.257162,2014,10,13,15,34,28,752,2014-10-13 15:34:28:752,
-3.734356,18.524088,-12.565668,-13.035680,16.003443,-10.749068,9.301324,2.520645,-1.816601,2.532949,2.946852,-0.145010,2014,10,13,15,34,29,255,2014-10-13 15:34:29:255,
9.428965,9.208249,-11.131541,-0.147543,7.251139,-10.338462,9.576508,1.957110,-0.793079,-17.956430,-2.474256,6.466027,2014,10,13,15,34,29,756,2014-10-13 15:34:29:756,
8.464102,-0.270395,-17.382803,-0.626832,-1.336563,-13.863027,9.090934,1.066168,-3.519776,18.993332,-0.618565,-6.872149,2014,10,13,15,34,30,262,2014-10-13 15:34:30:262,
9.385869,5.739051,-11.780370,1.053149,6.848165,-6.730101,8.332720,-1.109114,-5.050269,-19.750427,-1.469688,9.999515,2014,10,13,15,34,30,770,2014-10-13 15:34:30:770,
8.921394,-4.910358,-9.812336,0.844704,-5.709124,-4.307917,8.076690,0.798766,-5.504419,15.344711,1.026227,-6.907297,2014,10,13,15,34,31,273,2014-10-13 15:34:31:273,
